vehicle_id,brand,timestamp,odometer_reading,engine_hours,engine_temp_c,engine_rpm,engine_load_percent,throttle_pos_percent,brake_pedal_pos_percent,vehicle_speed_kph,air_flow_rate_gps,fuel_level_percent,fuel_consumption_lph
VEH0000,Kia,1/1/2026 0:00,65758.021,1213.6066,20.2,894.5,24.9,20.5,0,1.4,8.45,75.48,1.98
VEH0000,Kia,1/1/2026 0:00,65758.042,1213.615,20.4,995.9,15.4,14.3,0,2.6,5.72,75.46,1.25
VEH0000,Kia,1/1/2026 0:01,65758.072,1213.6233,20.6,1087,23,23.4,0,3.6,9.45,75.43,2.34
VEH0000,Kia,1/1/2026 0:01,65758.115,1213.6316,20.9,1172.7,25.9,22.9,0,5.1,11.11,75.39,2.69
VEH0000,Kia,1/1/2026 0:02,65758.162,1213.64,21.1,1244.7,23.4,24.1,0,5.6,10.33,75.35,2.57
VEH0000,Kia,1/1/2026 0:02,65758.224,1213.6483,21.4,1292.7,29.2,30,0,7.4,15.85,75.3,3.77
VEH0000,Kia,1/1/2026 0:03,65758.286,1213.6566,21.7,1344.3,27,21,0,7.5,13.85,75.25,3.51
VEH0000,Kia,1/1/2026 0:03,65758.357,1213.665,22,1393.9,27.6,16.2,0,8.6,15.17,75.2,3.59
VEH0000,Kia,1/1/2026 0:04,65758.439,1213.6733,22.2,1401.7,25.6,17.4,0,9.8,13.27,75.16,3.01
VEH0000,Kia,1/1/2026 0:04,65758.531,1213.6816,22.6,1428.6,33.4,27.6,0,11.1,20.05,75.09,5.07
VEH0000,Kia,1/1/2026 0:05,65758.638,1213.69,22.9,1398.4,32.8,23.3,0,12.8,18.43,75.03,4.45
VEH0000,Kia,1/1/2026 0:05,65758.752,1213.6983,23.1,1435.5,24.9,21.5,0,13.7,13.53,74.98,3.46
VEH0000,Kia,1/1/2026 0:06,65758.867,1213.7066,23.4,1488.8,26.1,14.5,0,13.9,14.98,74.93,3.77
VEH0000,Kia,1/1/2026 0:06,65758.994,1213.715,23.8,1551.2,39.3,31.1,0,15.2,24.14,74.85,5.84
VEH0000,Kia,1/1/2026 0:07,65759.124,1213.7233,24.2,1535.3,37.2,18.5,0,15.6,21.73,74.77,5.5
VEH0000,Kia,1/1/2026 0:07,65759.256,1213.7316,24.5,1498,31.2,17.7,0,15.9,18.65,74.71,4.56
VEH0000,Kia,1/1/2026 0:08,65759.399,1213.74,24.8,1533.3,29.7,20.9,0,17.1,19.45,74.64,4.48
VEH0000,Kia,1/1/2026 0:08,65759.553,1213.7483,25.1,1644.6,34.3,20.2,0,18.5,22.34,74.57,5.33
VEH0000,Kia,1/1/2026 0:09,65759.718,1213.7566,25.4,1668.2,30.2,18.4,0,19.8,20.65,74.5,5.17
VEH0000,Kia,1/1/2026 0:09,65759.888,1213.765,25.8,1687.8,34.2,21.1,0,20.5,23.83,74.42,5.65
VEH0000,Kia,1/1/2026 0:10,65760.065,1213.7733,26.1,1729.1,37.1,25.7,0,21.2,26.93,74.33,6.61
VEH0000,Kia,1/1/2026 0:10,65760.251,1213.7816,26.5,1821.3,35.8,23.5,0,22.3,25.47,74.24,6.13
VEH0000,Kia,1/1/2026 0:11,65760.456,1213.79,27.1,1910.7,63.2,57.9,0,24.6,49.6,74.08,11.97
VEH0000,Kia,1/1/2026 0:11,65760.689,1213.7983,27.8,2063.4,71.7,71.9,0,27.9,59.44,73.88,14.41
VEH0000,Kia,1/1/2026 0:12,65760.929,1213.8066,28.4,2147.7,53.8,40.5,0,28.8,46.97,73.72,11.31
VEH0000,Kia,1/1/2026 0:12,65761.181,1213.815,29,2250.5,59.2,50.6,0,30.3,54.09,73.53,13.63
VEH0000,Kia,1/1/2026 0:13,65761.443,1213.8233,29.5,2305.2,50.7,40.5,0,31.4,47.97,73.37,11.85
VEH0000,Kia,1/1/2026 0:13,65761.734,1213.8316,30.1,2408.8,61.5,57.1,0,34.9,58.15,73.17,14.34
VEH0000,Kia,1/1/2026 0:14,65762.053,1213.84,30.9,2522.7,78.4,72.7,0,38.2,80.18,72.89,19.57
VEH0000,Kia,1/1/2026 0:14,65762.381,1213.8483,31.5,2575.1,63,51.5,0,39.4,63.98,72.68,15.7
VEH0000,Kia,1/1/2026 0:15,65762.707,1213.8566,31.9,2537.9,37.1,18.7,0,39.1,38.08,72.55,9.18
VEH0000,Kia,1/1/2026 0:15,65763.028,1213.865,32.2,2508.6,36.1,22,0,38.5,35.09,72.43,8.69
VEH0000,Kia,1/1/2026 0:16,65763.348,1213.8733,32.6,2397.1,40.4,15,0,38.4,37.58,72.3,9.44
VEH0000,Kia,1/1/2026 0:16,65763.672,1213.8816,33,2301.5,35.8,16.5,0,38.8,32.46,72.18,8.1
VEH0000,Kia,1/1/2026 0:17,65764.001,1213.89,33.4,2323.4,41.7,31.9,0,39.5,37.98,72.05,9.39
VEH0000,Kia,1/1/2026 0:17,65764.329,1213.8983,33.7,2353.6,34,16.8,0,39.4,31.25,71.95,7.54
VEH0000,Kia,1/1/2026 0:18,65764.656,1213.9066,34.1,2291.8,35.7,19.8,0,39.2,32.94,71.84,8.18
VEH0000,Kia,1/1/2026 0:18,65764.993,1213.915,34.5,2263.7,38.1,21.2,0,40.5,34.2,71.72,8.21
VEH0000,Kia,1/1/2026 0:19,65765.327,1213.9233,34.9,2242.6,36.8,15.8,0,40.1,35.11,71.6,8.5
VEH0000,Kia,1/1/2026 0:19,65765.665,1213.9316,35.2,2301.7,35.3,15.7,0,40.5,33.04,71.49,8.12
VEH0000,Kia,1/1/2026 0:20,65766.017,1213.94,35.8,2506.4,63.5,63.3,0,42.2,63.54,71.27,15.68
VEH0000,Kia,1/1/2026 0:20,65766.393,1213.9483,36.6,2675.3,76.2,72.7,0,45.1,80.95,71,19.75
VEH0000,Kia,1/1/2026 0:21,65766.79,1213.9566,37.4,2801.6,76.2,66.2,0,47.7,84.6,70.71,20.61
VEH0000,Kia,1/1/2026 0:21,65767.201,1213.965,38.1,2855.6,75.9,62.7,0,49.3,88.28,70.41,21.53
VEH0000,Kia,1/1/2026 0:22,65767.632,1213.9733,38.9,2970.6,77.1,69,0,51.7,91.93,70.1,22.49
VEH0000,Kia,1/1/2026 0:22,65768.091,1213.9816,39.7,3029.4,82.9,77.1,0,55.1,101.69,69.76,24.66
VEH0000,Kia,1/1/2026 0:23,65768.571,1213.99,40.5,3114.3,75.8,67.6,0,57.7,94.45,69.44,22.99
VEH0000,Kia,1/1/2026 0:23,65769.068,1213.9983,41.2,3172.7,74.2,54.8,0,59.7,93.71,69.12,22.99
VEH0000,Kia,1/1/2026 0:24,65769.573,1214.0066,41.8,3198.9,62.1,42,0,60.6,79.12,68.85,19.47
VEH0000,Kia,1/1/2026 0:24,65770.101,1214.015,42.7,3275.8,86.1,68.3,0,63.3,114.35,68.46,27.83
VEH0000,Kia,1/1/2026 0:25,65770.631,1214.0233,43.3,3262.7,61.2,47.3,0,63.5,81.5,68.18,20.05
VEH0000,Kia,1/1/2026 0:25,65771.181,1214.0316,44.2,3310.9,83,68,0,66,109.33,67.82,26.28
VEH0000,Kia,1/1/2026 0:26,65771.74,1214.04,44.8,3240.8,60.6,37.8,0,67.1,78.45,67.55,19.27
VEH0000,Kia,1/1/2026 0:26,65772.31,1214.0483,45.5,3366.9,75.6,62.9,0,68.5,101.7,67.21,24.78
VEH0000,Kia,1/1/2026 0:27,65772.885,1214.0566,46.2,3327.2,67.3,41.8,0,68.9,88.77,66.91,21.57
VEH0000,Kia,1/1/2026 0:27,65773.463,1214.065,46.8,3416.1,66.1,52,0,69.3,89.62,66.6,21.87
VEH0000,Kia,1/1/2026 0:28,65774.049,1214.0733,47.5,3435.4,64.5,42.4,0,70.4,87.41,66.31,21.44
VEH0000,Kia,1/1/2026 0:28,65774.653,1214.0816,48.3,3454.6,76.8,54.2,0,72.4,106.36,65.94,26.29
VEH0000,Kia,1/1/2026 0:29,65775.27,1214.09,48.9,3472.5,65.3,42.9,0,74.1,92.35,65.63,22.74
